Volume_eau,Maladie,Temperature,Produit,Cereales,Rendement,Qtt_produit
163.44,5,25.63,Phyto B,5,87.45,99.46
258.4,3,12.19,Phyto E,4,91.41,127.52
247.68,2,32.11,Phyto B,1,90.19,92.33
195.2,4,26.08,Phyto B,2,86.28,95.45
248.55,3,15.65,Phyto C,2,70.22,62.81
237.61,6,21.33,Phyto C,1,75.46,60.42
210.17,2,18.03,Phyto C,5,77.71,92.35
110.43,1,29.79,Phyto D,5,62.82,77.24
198.56,4,26.16,Phyto B,1,86.79,107.48
230.13,2,16.86,Phyto C,4,73.58,71.66
159.28,2,25.1,Phyto A,6,81.9,65.19
128.89,3,27.37,Phyto D,1,68.64,54.41
165.27,4,32.64,Phyto B,4,93.2,109.22
251.57,6,17.87,Phyto C,1,71.48,86.79
131.32,5,29.59,Phyto D,4,68.56,41.62
275.19,4,11.88,Phyto E,1,94.6,107.28
207.08,4,25.78,Phyto B,2,85.86,97.2
291.51,4,15.18,Phyto E,2,91.8,107.23
222.64,6,30.99,Phyto B,3,90.8,92.03
123.03,2,26.94,Phyto D,6,64.66,68.46
344.96,4,17.21,Phyto E,2,93.01,100.98
291.01,2,19.15,Phyto E,1,91.27,112.4
122.2,3,29.83,Phyto D,4,64.47,43.43
268.32,4,16.64,Phyto E,1,93.12,96.64
143.23,4,25.93,Phyto D,5,61.26,78.65
105.54,1,22.98,Phyto A,6,84.68,92.92
271.33,5,14.21,Phyto E,6,94.28,110.72
145.73,6,23.24,Phyto D,4,62.19,57.56
315.28,5,18.26,Phyto E,4,91.89,128.21
173.84,3,20.73,Phyto A,6,86.49,79.33
117.14,2,24.96,Phyto D,6,66.38,58.5
336.68,1,11.63,Phyto E,1,94.53,104.54
291.36,5,18.68,Phyto C,5,71.81,83.39
336.77,4,15.45,Phyto E,4,94.58,105.74
253.19,4,17.25,Phyto E,4,94.83,90.02
313.09,4,18.55,Phyto E,6,94.65,98.4
287.58,5,16.83,Phyto E,5,91.55,90.68
177.36,5,24.12,Phyto A,2,84.2,79.07
127.3,1,22.61,Phyto A,4,80.34,78.97
243.46,3,21.82,Phyto C,1,75.85,62.71
131.36,5,21.54,Phyto D,2,60.99,47.68
276.11,1,17.31,Phyto C,4,74.8,60.57
237.52,1,29.75,Phyto B,3,88.93,115.19
229.07,1,32.94,Phyto B,2,93.11,89.95
170.09,3,26.03,Phyto B,4,93.85,93.05
118.73,5,23.9,Phyto D,3,68.71,60.44
174.29,4,33.5,Phyto B,6,92.82,111.14
349.88,4,19.36,Phyto E,2,92.22,95.97
246.13,6,18.25,Phyto C,5,76.03,69.02
122.07,1,27.69,Phyto D,5,69.38,78.6
218.28,2,16.22,Phyto C,1,76.17,76.49
270.01,6,17.95,Phyto E,4,93.78,114.81
179.13,5,22.26,Phyto A,2,86.93,98.91
124.81,2,27.86,Phyto D,3,61.5,53.04
152.26,4,33.04,Phyto B,5,89.88,119.25
188.03,5,27.79,Phyto B,1,87.65,84.15
150.93,2,21.32,Phyto A,2,87.92,88.69
298.28,4,10.58,Phyto E,5,91.36,107.09
227.16,1,25.64,Phyto B,6,88.0,119.78
257.36,4,20.7,Phyto C,4,76.4,93.48
235.0,3,26.68,Phyto B,3,93.28,98.35
195.77,4,33.1,Phyto B,5,90.07,109.99
261.74,5,21.95,Phyto C,2,72.68,63.66
249.37,6,34.67,Phyto B,4,85.94,102.67
167.39,1,20.96,Phyto A,2,85.24,91.83
138.2,5,24.32,Phyto D,5,65.15,70.18
241.39,3,30.32,Phyto B,4,86.02,89.86
133.0,2,23.45,Phyto D,4,65.28,64.86
298.83,2,11.14,Phyto E,3,94.99,91.48
147.49,5,29.64,Phyto A,6,82.36,99.39
113.5,4,25.9,Phyto D,2,60.58,69.27
106.5,1,22.98,Phyto A,2,83.03,54.61
263.91,6,17.38,Phyto E,6,93.67,127.85
146.95,4,20.1,Phyto A,1,85.99,83.37
250.67,1,18.82,Phyto C,2,73.23,71.93
133.35,1,21.95,Phyto D,2,61.48,52.0
128.38,3,27.79,Phyto D,2,67.87,63.95
342.61,1,12.28,Phyto E,6,93.17,116.87
134.56,2,24.17,Phyto A,1,83.48,52.22
137.86,6,28.84,Phyto D,6,64.82,44.58
290.38,4,16.39,Phyto C,6,71.81,64.43
278.74,4,12.72,Phyto E,1,93.29,128.12
320.52,3,16.47,Phyto E,1,94.93,110.17
235.23,5,22.02,Phyto C,2,71.1,91.38
342.54,3,13.84,Phyto E,5,90.37,108.91
259.73,1,18.23,Phyto C,3,77.59,64.48
122.71,3,27.47,Phyto D,2,68.6,71.15
234.8,4,26.58,Phyto B,2,89.91,106.46
135.46,6,23.37,Phyto D,1,67.84,56.82
197.03,4,27.54,Phyto A,1,82.8,54.95
289.36,5,12.52,Phyto E,6,92.14,117.54
314.22,1,17.76,Phyto E,1,93.29,106.29
211.43,1,22.35,Phyto C,4,74.06,80.49
222.75,1,21.51,Phyto C,6,72.29,79.5
188.72,4,23.2,Phyto A,4,85.08,87.26
262.21,2,19.06,Phyto E,6,94.56,119.13
271.35,5,18.87,Phyto C,3,74.38,83.91
109.96,4,27.49,Phyto D,3,61.92,76.5
235.26,6,27.75,Phyto B,5,91.8,116.41
300.23,5,19.06,Phyto E,2,92.6,93.67
346.59,4,11.11,Phyto E,2,94.92,92.25
225.47,4,25.37,Phyto B,4,85.75,97.6
125.84,5,20.57,Phyto D,5,63.4,45.7
346.94,3,18.36,Phyto E,4,93.57,116.24
304.93,4,11.91,Phyto E,2,92.31,121.11
237.67,2,31.26,Phyto B,5,89.02,80.15
144.37,1,21.92,Phyto A,1,86.02,85.37
275.83,2,24.3,Phyto C,4,78.07,62.12
188.79,5,27.86,Phyto B,1,88.47,102.72
128.2,5,20.91,Phyto D,4,66.63,52.05
213.9,6,18.93,Phyto C,1,76.12,86.25
167.46,5,23.62,Phyto A,5,89.67,97.25
113.07,6,27.75,Phyto A,5,81.23,96.35
142.06,3,22.23,Phyto D,2,65.16,49.09
296.35,1,22.76,Phyto C,1,75.09,86.11
220.75,5,20.37,Phyto C,3,70.18,61.17
338.68,3,13.71,Phyto E,6,93.66,115.15
119.0,6,20.05,Phyto A,4,81.48,86.23
254.0,6,18.63,Phyto E,1,91.31,126.08
183.79,3,27.36,Phyto B,1,85.37,109.77
306.77,6,16.24,Phyto E,5,90.4,102.94
294.57,1,17.58,Phyto C,2,76.73,61.48
311.42,5,19.18,Phyto E,1,91.67,91.82
298.06,1,18.76,Phyto C,1,72.74,96.43
180.99,6,34.78,Phyto B,1,85.6,113.2
196.71,3,22.17,Phyto A,4,86.78,73.32
299.87,2,18.72,Phyto E,3,91.73,122.47
208.39,3,18.78,Phyto C,1,77.62,83.76
